"fare_id","route_id","origin_id","destination_id","contains_id"
5,"701",,,
5,"721",,,
5,"794",,,
4,"1",,,
4,"21",,,
4,"24",,,
4,"25",,,
4,"26",,,
4,"29",,,
4,"30",,,
4,"33",,,
4,"35",,,
4,"37",,,
4,"38",,,
4,"42",,,
4,"43",,,
4,"46",,,
4,"47",,,
4,"50",,,
4,"53",,,
4,"54",,,
4,"55",,,
4,"56",,,
4,"57",,,
4,"59",,,
4,"60",,,
4,"64",,,
4,"66",,,
4,"70",,,
4,"71",,,
4,"72",,,
4,"76",,,
4,"79",,,
4,"82",,,
4,"83",,,
4,"85",,,
4,"86",,,
4,"87",,,
4,"89",,,
4,"91",,,
4,"167",,,
4,"177",,,
4,"178",,,
6,"206",,,
6,"211",,,
6,"212",,,
6,"213",,,
6,"216",,,
4,"411",,,
4,"430",,,
4,"453",,,
4,"454",,,
4,"462",,,
4,"463",,,
4,"472",,,
4,"473",,,
4,"480",,,
4,"490",,,
4,"543",,,
4,"103",,,
4,"129",,,
4,"143",,,
4,"153",,,
4,"90",,,
7,"400A",,,
7,"401B",,,
7,"402C",,,
7,"403D",,,
4,"182",,,
4,"164",,,
4,"560",,,
4,"150",,,
4,"53x",,,
4,"57x",,,
4,"64x",,,
