"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"1",1,"1","Long Beach - San Clemente","Long Beach - San Clemente via Pacific Coast Hwy",3,"http://www.octa.net/eBusBook/RoutePDF/route001.pdf","317cc0",
"103",1,"103","La Habra Community Shuttle","La Habra Community Shuttle via La Habra/Lambert/Harbor",3,"http://www.octa.net/eBusBook/RoutePDF/route103.pdf","ce57a0",
"129",1,"129","La Habra - Anaheim","La Habra - Anaheim via Central - Birch - Kraemer",3,"http://www.octa.net/eBusBook/RoutePDF/route129.pdf","ce57a0",
"143",1,"143","La Habra - Brea Mall","La Habra - Brea Mall via Whittier - Harbor - Brea",3,"http://www.octa.net/eBusBook/RoutePDF/route143.pdf","ce57a0",
"150",1,"150","Santa Ana / Costa mesa","Santa Ana / Costa mesa via Flower",3,"http://www.octa.net/eBusBook/RoutePDF/route150.pdf","ce57a0",
"153",1,"153","Orange - Brea Mall","Orange - Brea Mall via Associated - Sunkist",3,"http://www.octa.net/eBusBook/RoutePDF/route153.pdf","ce57a0",
"164",1,"164","Magnolia","Magnolia via Magnolia",3,"http://www.octa.net/eBusBook/RoutePDF/route164.pdf","ce57a0",
"167",1,"167","Anaheim - Irvine","Anaheim - Irvine via Tustin/Hewes/Culver",3,"http://www.octa.net/eBusBook/RoutePDF/route167.pdf","ce57a0",
"177",1,"177","Foothill Ranch - Laguna Hills","Foothill Ranch - Laguna Hills via Lake Forest Drive/Los Alisos",3,"http://www.octa.net/eBusBook/RoutePDF/route177.pdf","ce57a0",
"178",1,"178","Huntington Beach - Irvine","Huntington Beach - Irvine via Adams/Birch/Campus",3,"http://www.octa.net/eBusBook/RoutePDF/route178.pdf","ce57a0",
"182",1,"182","Laguna Niguel - Mission Viejo","Laguna Niguel - Mission Viejo via Marguarite Parkway",3,"http://www.octa.net/eBusBook/RoutePDF/route182.pdf","ce57a0",
"206",1,"206","Santa Ana - Lake Forest Express","Santa Ana - Lake Forest Express via 5 Freeway",3,"http://www.octa.net/eBusBook/RoutePDF/route206.pdf","fcb64c",
"21",1,"21","Buena Park - Huntington Beach","Buena Park - Huntington Beach via Valley View/ Bolsa Chica",3,"http://www.octa.net/eBusBook/RoutePDF/route021.pdf","317cc0",
"211",1,"211","Huntington Beach - Irvine Express","Huntington Beach - Irvine Express via 405 Frwy",3,"http://www.octa.net/eBusBook/RoutePDF/route211.pdf","fcb64c",
"212",1,"212","Irvine - San Juan Capistrano Express **","Irvine - San Juan Capistrano Express ** via 405 Fwy",3,"http://www.octa.net/eBusBook/RoutePDF/route212.pdf","fcb64c",
"213",1,"213","Brea - Irvine Express","Brea - Irvine Express via 55 Fwy",3,"http://www.octa.net/eBusBook/RoutePDF/route213.pdf","fcb64c",
"216",1,"216","Costa Mesa - San Juan Capistrano Express **","Costa Mesa - San Juan Capistrano Express ** via 405 Fwy",3,"http://www.octa.net/eBusBook/RoutePDF/route216.pdf","fcb64c",
"24",1,"24","Fullerton - Orange","Fullerton - Orange via Malvern/Chapman/Tustin",3,"http://www.octa.net/eBusBook/RoutePDF/route024.pdf","317cc0",
"25",1,"25","Fullerton - Huntington Beach","Fullerton - Huntington Beach via Knott/Goldenwest St",3,"http://www.octa.net/eBusBook/RoutePDF/route024.pdf","317cc0",
"26",1,"26","Buena Park - Yorba Linda","Buena Park - Yorba Linda via Commonwealth/Yorba Linda",3,"http://www.octa.net/eBusBook/RoutePDF/route026.pdf","317cc0",
"29",1,"29","Brea - Huntington Beach","Brea - Huntington Beach via La Habra / Beach Blvd",3,"http://www.octa.net/eBusBook/RoutePDF/route029.pdf","317cc0",
"30",1,"30","Cerritos - Anaheim","Cerritos - Anaheim via Orangethorpe Ave",3,"http://www.octa.net/eBusBook/RoutePDF/route030.pdf","317cc0",
"33",1,"33","Fullerton - Huntington Beach","Fullerton - Huntington Beach via Magnolia St",3,"http://www.octa.net/eBusBook/RoutePDF/route033.pdf","317cc0",
"35",1,"35","Costa Mesa - Fullerton","Costa Mesa - Fullerton via Brookhurst St",3,"http://www.octa.net/eBusBook/RoutePDF/route035.pdf","317cc0",
"37",1,"37","La Habra - Fountain Valley","La Habra - Fountain Valley via Euclid St",3,"http://www.octa.net/eBusBook/RoutePDF/route037.pdf","317cc0",
"38",1,"38","Lakewood - Anaheim Hills","Lakewood - Anaheim Hills via Del Amo / La Palma",3,"http://www.octa.net/eBusBook/RoutePDF/route038.pdf","317cc0",
